departamento,provincia,distrito,ubigeo,nivel,puntos,poblacion,poblacion_con_acceso_vial,pct_sin_acceso_vial,t_medio_pond_min,t_p50_pond_min,t_p90_pond_min,tasa_pobreza,cuadrante
AYACUCHO,HUANTA,AYAHUANCO,050402,distrito,10,0,0,0.0,,,,53.055271,sin dato
AYACUCHO,HUANTA,PUCACOLPA,050411,distrito,10,0,0,0.0,,,,78.161251,sin dato
AYACUCHO,HUANTA,PUTIS,050413,distrito,10,0,0,0.0,,,,,sin dato
AYACUCHO,HUANTA,SANTILLANA,050406,distrito,10,0,0,0.0,,,,59.937555,sin dato
AYACUCHO,LUCANAS,OCAÑA,050612,distrito,15,2738,0,100.0,,,,50.275966,sin dato
AYACUCHO,PARINACOCHAS,PACAPAUSA,050704,distrito,10,0,0,0.0,,,,29.416076,sin dato
AYACUCHO,PARINACOCHAS,SAN FRANCISCO DE RAVACAYCO,050707,distrito,10,0,0,0.0,,,,39.325269,sin dato
AYACUCHO,PAUCAR DEL SARA SARA,COLTA,050802,distrito,10,0,0,0.0,,,,39.918399,sin dato
AYACUCHO,PAUCAR DEL SARA SARA,SAN JAVIER DE ALPABAMBA,050808,distrito,10,0,0,0.0,,,,37.40018,sin dato
AYACUCHO,SUCRE,BELEN,050902,distrito,4,0,0,0.0,,,,53.497967,sin dato
AYACUCHO,SUCRE,HUACAÑA,050905,distrito,11,715,0,100.0,,,,43.526738,sin dato
AYACUCHO,SUCRE,SAN PEDRO DE LARCAY,050908,distrito,10,0,0,0.0,,,,47.117162,sin dato
AYACUCHO,SUCRE,SAN SALVADOR DE QUIJE,050909,distrito,10,0,0,0.0,,,,45.354617,sin dato
AYACUCHO,VICTOR FAJARDO,APONGO,051003,distrito,10,0,0,0.0,,,,53.484127,sin dato
AYACUCHO,VICTOR FAJARDO,ASQUIPATA,051004,distrito,10,0,0,0.0,,,,44.9478,sin dato
AYACUCHO,VILCAS HUAMAN,INDEPENDENCIA,051106,distrito,10,0,0,0.0,,,,40.654191,sin dato
LORETO,DATEM DEL MARAÑON,ANDOAS,160706,distrito,25,8681,0,100.0,,,,47.483688,sin dato
LORETO,DATEM DEL MARAÑON,BARRANCA,160701,distrito,38,16273,0,100.0,,,,38.104364,sin dato
LORETO,DATEM DEL MARAÑON,CAHUAPANAS,160702,distrito,24,7859,0,100.0,,,,51.174663,sin dato
LORETO,DATEM DEL MARAÑON,MORONA,160704,distrito,64,31076,0,100.0,,,,40.1,sin dato
